Class,cg-na,cg-npm,Pattern,count
io.questdb.FactoryProviderFactoryImpl,1,1,Factory Method,1
io.questdb.FactoryProvider,0,5,Factory Method,1
io.questdb.std.LongVec,0,4,Factory Method,1
io.questdb.std.IOURing,0,8,Factory Method,1
io.questdb.cutlass.auth.AuthenticatorFactory,0,0,Factory Method,1
io.questdb.cutlass.auth.DefaultAuthenticatorFactory,1,1,Factory Method,1
io.questdb.cutlass.auth.EllipticCurveAuthenticatorFactory,2,1,Factory Method,1
io.questdb.cutlass.http.HttpRequestProcessorFactory,0,1,Factory Method,1
io.questdb.cutlass.Services,0,4,Factory Method,1
io.questdb.cutlass.http.HttpRequestProcessorSelector,0,1,Factory Method,1
io.questdb.cutlass.http.DefaultHttpServerConfiguration,5,11,Factory Method,1
io.questdb.cutlass.http.WaitProcessorConfiguration,0,5,Factory Method,1
io.questdb.cairo.sql.AnalyticSPI,0,1,Factory Method,1
io.questdb.cairo.SymbolMapReader,0,4,Factory Method,1
io.questdb.cairo.sql.StaticSymbolTable,0,2,Factory Method,1
io.questdb.cairo.wal.MetadataService,0,16,Factory Method,1
io.questdb.cairo.wal.seq.MetadataServiceStub,0,12,Factory Method,1
io.questdb.cairo.UpdateOperator,0,1,Factory Method,1
io.questdb.griffin.engine.functions.constants.GeoByteConstant,2,2,Singleton,1
io.questdb.griffin.engine.functions.constants.LongTypeConstant,1,1,Singleton,1
io.questdb.cairo.AlterTableContextException,1,0,Singleton,1
io.questdb.griffin.engine.functions.constants.RegProcedureTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.Long256NullConstant,1,2,Singleton,1
io.questdb.mp.NullWaitStrategy,1,4,Singleton,1
io.questdb.griffin.engine.functions.constants.DoubleTypeConstant,1,1,Singleton,1
io.questdb.cutlass.line.LineProtoMinuteTimestampAdapter,1,2,Singleton,1
io.questdb.cairo.wal.BasicWalInitializerFactory,1,1,Singleton,1
io.questdb.cutlass.line.LineProtoMilliTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.text.types.UuidAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.FloatAdapter,1,3,Singleton,1
io.questdb.cairo.security.AllowAllSecurityContextFactory,1,1,Singleton,1
io.questdb.cairo.security.AllowAllSecurityContext,1,0,Singleton,1
io.questdb.cutlass.http.ex.RetryOperationException,1,0,Singleton,1
io.questdb.griffin.engine.functions.constants.StringArrayTypeConstant,1,1,Singleton,1
io.questdb.mp.AlertedException,1,0,Singleton,1
io.questdb.cutlass.text.types.CharAdapter,1,3,Singleton,1
io.questdb.test.log.LogAlertSocketTest,0,0,(Object)Adapter,1
io.questdb.cairo.wal.SymbolMapDiffImpl,8,4,(Object)Adapter,1
io.questdb.std.Uuid,7,16,(Object)Adapter,1
io.questdb.mp.MCSequence,0,2,(Object)Adapter,1
io.questdb.cairo.AbstractFullDataFrameCursor,4,4,(Object)Adapter,1
io.questdb.cairo.wal.seq.EmptyOperationCursor,1,5,(Object)Adapter,1
io.questdb.log.TemplateParser,9,10,(Object)Adapter,1
io.questdb.cutlass.text.CopyContext,5,5,(Object)Adapter,1
io.questdb.mp.MPSequence,1,1,(Object)Adapter,1
io.questdb.cairo.AbstractDataFrameCursorFactory,3,4,(Object)Adapter,1
io.questdb.griffin.engine.table.SymbolIndexFilteredRowCursorFactory,2,6,(Object)Adapter,1
io.questdb.cairo.wal.WalDataRecord,2,33,(Object)Adapter,1
io.questdb.std.ObjHashSet,8,11,(Object)Adapter,1
io.questdb.griffin.engine.ops.DoneOperationFuture,1,7,(Object)Adapter,1
io.questdb.griffin.engine.join.LongChain,2,4,(Object)Adapter,1
io.questdb.cairo.vm.MemoryFCRImpl,0,3,(Object)Adapter,1
io.questdb.griffin.engine.table.LatestByValueIndexedRowCursorFactory,4,3,(Object)Adapter,1
io.questdb.griffin.engine.analytic.AnalyticContextImpl,6,8,(Object)Adapter,1
io.questdb.cairo.ptt.IsoWeekPartitionFormat,0,3,Decorator,1
io.questdb.griffin.engine.table.VirtualFunctionDirectSymbolRecordCursor,0,0,Decorator,1
io.questdb.griffin.engine.groupby.VirtualFunctionSkewedSymbolRecordCursor,1,2,Decorator,1
io.questdb.test.griffin.CompiledFilterRegressionTest,0,0,Decorator,1
io.questdb.test.cutlass.text.CairoConfigurationWrapper,0,0,Decorator,1
io.questdb.cairo.DefaultCairoConfiguration,12,182,Decorator,1
io.questdb.griffin.engine.table.FilteredRecordCursorFactory,3,6,Decorator,1
io.questdb.griffin.engine.functions.groupby.LastSymbolGroupByFunction,0,2,Decorator,1
io.questdb.griffin.engine.functions.constants.SymbolConstant,5,9,Decorator,1
io.questdb.griffin.engine.functions.GroupByFunction,0,16,Decorator,1
io.questdb.griffin.engine.functions.groupby.InterpolationGroupByFunction,7,40,Decorator,1
io.questdb.griffin.engine.functions.groupby.CountLongConstGroupByFunction,1,9,Decorator,1
io.questdb.griffin.engine.functions.groupby.AbstractCountGroupByFunction,2,8,Decorator,1
io.questdb.mp.Barrier,0,8,Decorator,1
io.questdb.griffin.engine.functions.conditional.LongCaseFunction,2,1,State,1
io.questdb.TelemetryConfiguration,0,4,State,1
io.questdb.griffin.engine.functions.conditional.Long256CaseFunction,2,1,State,1
io.questdb.griffin.engine.functions.conditional.GeoIntCaseFunction,2,1,State,1
io.questdb.metrics.HealthMetrics,0,2,State,1
io.questdb.griffin.engine.join.AsOfJoinLightRecordCursorFactory,11,3,State,1
io.questdb.std.datetime.TimeZoneRules,0,4,State,1
io.questdb.cutlass.http.HttpContextConfiguration,0,15,State,1
io.questdb.test.cairo.CairoTestConfiguration,0,0,State,1
io.questdb.griffin.engine.functions.conditional.GeoShortCaseFunction,2,1,State,1
io.questdb.griffin.engine.functions.conditional.IntCaseFunction,2,1,State,1
io.questdb.cutlass.text.types.TimestampCompatibleAdapter,0,1,State,1
io.questdb.griffin.engine.table.DeferredSymbolIndexRowCursorFactory,5,6,State,1
io.questdb.cairo.wal.WalInitializer,0,1,State,1
io.questdb.test.griffin.AbstractO3Test,0,0,State,1
io.questdb.griffin.engine.functions.conditional.Long128CaseFunction,2,1,State,1
io.questdb.griffin.engine.functions.conditional.BinCaseFunction,2,1,State,1
io.questdb.griffin.engine.functions.conditional.UuidCaseFunction,2,1,State,1
io.questdb.network.IODispatcherConfiguration,2,22,Bridge,1
io.questdb.cairo.sql.DataFrameCursorFactory,3,8,Bridge,1
io.questdb.griffin.engine.groupby.AbstractSampleByCursor,11,1,Bridge,1
io.questdb.network.IOContextFactory,0,2,Bridge,1
io.questdb.cutlass.line.AbstractLineSender,14,26,Bridge,1
io.questdb.test.AbstractGriffinTest,0,0,Bridge,1
io.questdb.test.cutlass.line.udp.LineUdpInsertTest,0,0,Bridge,1
io.questdb.WorkerPoolManager,5,2,Bridge,1
io.questdb.std.IntObjHashMap,1,9,Template Method,1
io.questdb.network.SuspendEvent,3,8,Template Method,1
io.questdb.std.WeakObjectPoolBase,3,2,Template Method,1
io.questdb.std.AbstractCharSequenceHashSet,7,9,Template Method,1
io.questdb.std.LowerCaseAsciiCharSequenceObjHashMap,2,8,Template Method,1
io.questdb.std.LowerCaseAsciiCharSequenceIntHashMap,3,6,Template Method,1
io.questdb.griffin.engine.functions.regex.LikeStrFunctionFactory,0,1,Template Method,1
io.questdb.test.cutlass.line.tcp.AbstractLineTcpReceiverFuzzTest,0,0,Template Method,1
io.questdb.std.AbstractLowerCaseCharSequenceHashSet,7,9,Template Method,1
io.questdb.mp.SynchronizedJob,2,0,Template Method,1
io.questdb.std.LowerCaseAsciiCharSequenceHashSet,1,3,Template Method,1
io.questdb.std.AbstractLowerCaseAsciiCharSequenceHashSet,7,10,Template Method,1
io.questdb.std.LongLongHashMap,2,4,Template Method,1
io.questdb.cairo.ColumnIndexerJob,0,0,Template Method,1
io.questdb.griffin.engine.groupby.vect.GroupByJob,0,0,Template Method,1
io.questdb.griffin.engine.groupby.AbstractSampleByNotKeyedRecordCursorFactory,0,1,Template Method,1
io.questdb.cairo.pool.MetadataPool,1,0,Template Method,1
io.questdb.griffin.engine.table.AbstractDescendingRecordListCursor,5,5,Template Method,1
io.questdb.griffin.model.AnalyticColumn,4,5,Proxy,1
io.questdb.cutlass.http.processors.TextImportProcessorState,14,2,Proxy,1
io.questdb.cairo.pool.WriterSource,0,2,Proxy,1
io.questdb.griffin.engine.groupby.DistinctKeyRecordCursorFactory,2,3,Proxy,1
io.questdb.griffin.engine.functions.constants.Long256Constant,1,5,Proxy,1
io.questdb.std.Long256,1,4,Proxy,1
io.questdb.cairo.TableDescriptor,0,4,Proxy,1
