Class,cg-na,cg-npm,Pattern Name,count
io.questdb.FactoryProviderFactoryImpl,1,1,Factory Method,1
io.questdb.FactoryProvider,0,5,Factory Method,1
io.questdb.std.LongVec,0,4,Factory Method,1
io.questdb.std.IOURing,0,8,Factory Method,1
io.questdb.cutlass.auth.AuthenticatorFactory,0,0,Factory Method,1
io.questdb.cutlass.auth.DefaultAuthenticatorFactory,1,1,Factory Method,1
io.questdb.cutlass.auth.EllipticCurveAuthenticatorFactory,2,1,Factory Method,1
io.questdb.cutlass.http.HttpRequestProcessorFactory,0,1,Factory Method,1
io.questdb.cutlass.Services,0,4,Factory Method,1
io.questdb.cutlass.http.HttpRequestProcessorSelector,0,1,Factory Method,1
io.questdb.cutlass.http.DefaultHttpServerConfiguration,5,11,Factory Method,1
io.questdb.cutlass.http.WaitProcessorConfiguration,0,5,Factory Method,1
io.questdb.cairo.sql.AnalyticSPI,0,1,Factory Method,1
io.questdb.cairo.SymbolMapReader,0,4,Factory Method,1
io.questdb.cairo.sql.StaticSymbolTable,0,2,Factory Method,1
io.questdb.cairo.wal.MetadataService,0,16,Factory Method,1
io.questdb.cairo.wal.seq.MetadataServiceStub,0,12,Factory Method,1
io.questdb.cairo.UpdateOperator,0,1,Factory Method,1
io.questdb.network.PeerDisconnectedException,1,0,Singleton,1
io.questdb.network.PeerIsSlowToWriteException,1,0,Singleton,1
io.questdb.network.NoSpaceLeftInResponseBufferException,1,0,Singleton,1
io.questdb.network.EpollFacadeImpl,1,8,Singleton,1
io.questdb.network.ServerDisconnectException,1,0,Singleton,1
io.questdb.network.PeerIsSlowToReadException,1,0,Singleton,1
io.questdb.NullIndexFrameCursor,1,1,Singleton,1
io.questdb.std.NumericException,1,0,Singleton,1
io.questdb.std.StationaryMillisClock,1,1,Singleton,1
io.questdb.std.str.StdoutSink,6,4,Singleton,1
io.questdb.std.datetime.TimeZoneRuleFactory,5,2,Singleton,1
io.questdb.std.datetime.DateLocaleFactory,5,2,Singleton,1
io.questdb.std.ex.BytecodeException,1,0,Singleton,1
io.questdb.std.ex.ZLibException,1,0,Singleton,1
io.questdb.cutlass.line.LineProtoMicroTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.line.LineProtoHourTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.line.LineProtoNanoTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.line.LineProtoException,1,0,Singleton,1
io.questdb.cutlass.line.LineProtoSecondTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.line.udp.Utf8RepairContinue,1,0,Singleton,1
io.questdb.cutlass.line.LineProtoMinuteTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.line.LineProtoMilliTimestampAdapter,1,2,Singleton,1
io.questdb.cutlass.auth.AnonymousAuthenticator,1,6,Singleton,1
io.questdb.cutlass.auth.AuthenticatorException,1,0,Singleton,1
io.questdb.cutlass.text.Utf8Exception,1,0,Singleton,1
io.questdb.cutlass.text.types.IntAdapter,1,4,Singleton,1
io.questdb.cutlass.text.types.BooleanAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.ShortAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.DoubleAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.FloatAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.BadDateAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.ByteAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.UuidAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.BadTimestampAdapter,1,4,Singleton,1
io.questdb.cutlass.text.types.CharAdapter,1,3,Singleton,1
io.questdb.cutlass.text.types.LongAdapter,1,5,Singleton,1
io.questdb.cutlass.text.types.Long256Adapter,2,3,Singleton,1
io.questdb.cutlass.http.ex.TooFewBytesReceivedException,1,0,Singleton,1
io.questdb.cutlass.http.ex.BufferOverflowException,1,0,Singleton,1
io.questdb.cutlass.http.ex.RetryFailedOperationException,1,0,Singleton,1
io.questdb.cutlass.http.ex.RetryOperationException,1,0,Singleton,1
io.questdb.cutlass.pgwire.AuthenticationException,1,0,Singleton,1
io.questdb.cutlass.pgwire.BadProtocolException,1,0,Singleton,1
io.questdb.mp.AlertedException,1,0,Singleton,1
io.questdb.mp.NullWaitStrategy,1,4,Singleton,1
io.questdb.mp.TimeoutException,1,0,Singleton,1
io.questdb.BuildInformationHolder,6,7,Singleton,1
io.questdb.DefaultFactoryProvider,1,5,Singleton,1
io.questdb.cairo.sql.WriterOutOfDateException,1,0,Singleton,1
io.questdb.cairo.sql.InvalidColumnException,1,0,Singleton,1
io.questdb.cairo.pool.ex.PoolClosedException,1,0,Singleton,1
io.questdb.cairo.security.AllowAllSecurityContextFactory,1,1,Singleton,1
io.questdb.cairo.security.AllowAllSecurityContext,1,0,Singleton,1
io.questdb.cairo.security.ReadOnlySecurityContext,1,33,Singleton,1
io.questdb.cairo.security.DenyAllSecurityContext,1,2,Singleton,1
io.questdb.cairo.DefaultLifecycleManager,1,1,Singleton,1
io.questdb.cairo.vm.NullMemoryMR,1,33,Singleton,1
io.questdb.cairo.vm.api.NullMemory,1,68,Singleton,1
io.questdb.cairo.AlterTableContextException,1,0,Singleton,1
io.questdb.cairo.wal.BasicWalInitializerFactory,1,1,Singleton,1
io.questdb.cairo.wal.BasicWalInitializer,1,1,Singleton,1
io.questdb.log.NullLogRecord,1,23,Singleton,1
io.questdb.griffin.EmptyRecordMetadata,1,1,Singleton,1
io.questdb.griffin.AnyRecordMetadata,1,2,Singleton,1
io.questdb.griffin.engine.EmptyTableRecordCursor,2,7,Singleton,1
io.questdb.griffin.engine.EmptyTableNoSizeRecordCursor,2,6,Singleton,1
io.questdb.griffin.engine.table.NoMoreFramesException,1,0,Singleton,1
io.questdb.griffin.engine.functions.constants.LongTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.DoubleTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.Long128Constant,3,3,Singleton,1
io.questdb.griffin.engine.functions.constants.ByteConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.GeoLongConstant,2,2,Singleton,1
io.questdb.griffin.engine.functions.constants.CharTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.FloatTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.ShortTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.GeoShortConstant,2,2,Singleton,1
io.questdb.griffin.engine.functions.constants.IntConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.GeoIntConstant,2,2,Singleton,1
io.questdb.griffin.engine.functions.constants.ShortConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.TimestampTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.ByteTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.RegProcedureTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.DateTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.Long256NullConstant,1,2,Singleton,1
io.questdb.griffin.engine.functions.constants.StringArrayTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.BooleanTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.StrTypeConstant,1,4,Singleton,1
io.questdb.griffin.engine.functions.constants.IntTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.Long256TypeConstant,1,3,Singleton,1
io.questdb.griffin.engine.functions.constants.TimestampConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.NullConstant,2,39,Singleton,1
io.questdb.griffin.engine.functions.constants.DoubleConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.FloatConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.DateConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.CharConstant,2,3,Singleton,1
io.questdb.griffin.engine.functions.constants.RegClassTypeConstant,1,1,Singleton,1
io.questdb.griffin.engine.functions.constants.UuidConstant,3,3,Singleton,1
io.questdb.griffin.engine.functions.constants.UuidTypeConstant,1,2,Singleton,1
io.questdb.griffin.engine.functions.constants.NullBinConstant,1,3,Singleton,1
io.questdb.griffin.engine.functions.constants.GeoByteConstant,2,2,Singleton,1
io.questdb.griffin.engine.functions.constants.BinTypeConstant,1,2,Singleton,1
io.questdb.metrics.NullCounter,1,6,Singleton,1
io.questdb.metrics.NullLongGauge,1,6,Singleton,1
io.questdb.cutlass.http.HttpHeaderParser,32,19,(Object)Adapter,1
io.questdb.std.Uuid,7,16,(Object)Adapter,1
io.questdb.griffin.engine.functions.bind.UuidBindVariable,1,2,(Object)Adapter,1
io.questdb.griffin.engine.functions.bind.Long256BindVariable,1,7,(Object)Adapter,1
io.questdb.std.AtomicIntList,4,7,(Object)Adapter,1
io.questdb.cairo.TableWriterMetadata,8,15,(Object)Adapter,1
io.questdb.cutlass.text.CopyContext,5,5,(Object)Adapter,1
io.questdb.cutlass.text.CopyRequestTask,10,12,(Object)Adapter,1
io.questdb.griffin.engine.functions.bind.StrBindVariable,3,17,(Object)Adapter,1
io.questdb.std.ObjHashSet,8,11,(Object)Adapter,1
io.questdb.log.TemplateParser,9,10,(Object)Adapter,1
io.questdb.log.HttpLogRecordSink,8,14,(Object)Adapter,1
io.questdb.cairo.TableReaderRecord,3,33,(Object)Adapter,1
io.questdb.cairo.wal.WalDataRecord,2,33,(Object)Adapter,1
io.questdb.network.IOContextFactoryImpl,2,3,(Object)Adapter,1
io.questdb.griffin.engine.join.LongChain,2,4,(Object)Adapter,1
io.questdb.griffin.engine.functions.rnd.RndStrFunction,4,3,(Object)Adapter,1
io.questdb.std.IntStack,7,9,(Object)Adapter,1
io.questdb.griffin.engine.analytic.AnalyticContextImpl,6,8,(Object)Adapter,1
io.questdb.cairo.wal.WalWriterMetadata,7,13,(Object)Adapter,1
io.questdb.cairo.AbstractFullDataFrameCursor,4,4,(Object)Adapter,1
io.questdb.std.ObjStack,6,8,(Object)Adapter,1
io.questdb.std.IntLongPriorityQueue,3,7,(Object)Adapter,1
io.questdb.griffin.engine.table.LatestByValueIndexedRowCursorFactory,4,3,(Object)Adapter,1
io.questdb.griffin.engine.table.BwdDataFrameRowCursorFactory,1,2,(Object)Adapter,1
io.questdb.griffin.engine.table.DataFrameRowCursorFactory,1,2,(Object)Adapter,1
io.questdb.cairo.wal.seq.SequencerMetadata,8,17,(Object)Adapter,1
io.questdb.mp.MCSequence,0,2,(Object)Adapter,1
io.questdb.mp.MPSequence,1,1,(Object)Adapter,1
io.questdb.cairo.vm.api.MemoryCMARW,0,0,(Object)Adapter,1
io.questdb.std.ByteCharSequenceIntHashMap,11,15,(Object)Adapter,1
io.questdb.cairo.vm.api.MemoryMAR,0,2,(Object)Adapter,1
io.questdb.cairo.frm.file.ContiguousFileColumnPool,1,3,(Object)Adapter,1
io.questdb.cairo.map.CompactMapRecord,6,24,(Object)Adapter,1
io.questdb.griffin.engine.table.SymbolIndexFilteredRowCursorFactory,2,6,(Object)Adapter,1
io.questdb.cairo.wal.WalEventCursor,9,7,(Object)Adapter,1
io.questdb.cairo.wal.SymbolMapDiffImpl,8,4,(Object)Adapter,1
io.questdb.cairo.vm.MemoryFCRImpl,0,3,(Object)Adapter,1
io.questdb.cutlass.line.tcp.StaticPublicKeyRepo,2,0,(Object)Adapter,1
io.questdb.griffin.ExpressionTreeBuilder,3,0,(Object)Adapter,1
io.questdb.griffin.engine.ops.DoneOperationFuture,1,7,(Object)Adapter,1
io.questdb.cairo.wal.seq.EmptyOperationCursor,1,5,(Object)Adapter,1
